Nama Group,Ticker Saham (Contoh),Sector,Tokoh Kunci (Keluarga)
Grup Barito Pacific,"BREN, TPIA, CUAN, BRPT, PTRO","Energi (Baru & Batubara), Petrokimia",Prajogo Pangestu
Djarum Group,"BBCA, TOWR","Perbankan, Menara Telekomunikasi",Keluarga Hartono (Budi & Michael)
Astra Group,"ASII, UNTR, AALI","Otomotif, Alat Berat, Agribisnis",Jardine Matheson (Grup)
Salim Group,"INDF, ICBP, DNET","Konsumer, Ritel",Anthoni Salim
Sinar Mas Group,"BSDE, DMAS, TKIM, INKP, SMMA","Properti, Pulp & Paper, Finansial",Keluarga Widjaja
Grup Emtek,"EMTK, SCMA, BUKA, SAME","Media, Teknologi, Kesehatan",Keluarga Sariaatmadja
Grup Bayan,BYAN,Batubara,Low Tuck Kwong
Grup Jhonlin,"JARR, PGUN","Perkebunan Sawit, Energi",Haji Isam (Andi Syamsuddin Arsyad)
Harita Group,"NCKL, CITA","Pertambangan (Nikel, Bauksit)",Keluarga Lim (Lim Hariyanto W.S.)
Adaro Group,"ADRO, ADMR, ESSA","Batubara, Energi",Garibaldi Thohir & Edwin Soeryadjaya
Triputra Group,"TAPG, ASSA, DRMA","Agribisnis, Logistik, Manufaktur",Theodore Permadi (T.P.) Rachmat
Lippo Group,"LPKR, SILO, MPPA","Properti, Kesehatan, Ritel",Keluarga Riady (Mochtar Riady)
CT Corp,"MEGA, BBHI","Finansial, Media, Ritel",Chairul Tanjung
Indika Group,"INDY, MBMA","Energi, Pertambangan",Keluarga Sudwikatmono (Agus Lasmono S.)
Panin Group,"PNBN, PNLF, PNIN","Finansial (Perbankan, Asuransi)",Mu'min Ali Gunawan
Gudang Garam Group,"GGRM, SURYA",Konsumer (Rokok),Keluarga Wonowidjojo (Susilo W.)
Kalbe Group,KLBF,Farmasi & Kesehatan,Keluarga Boenjamin Setiawan
Alfa Group,"AMRT, MIDI",Ritel Konsumer,Djoko Susanto
Ciputra Group,"CTRA, CTRP, CTRE",Properti & Real Estate,Keluarga Ciputra
Mayapada Group,"MAYA, SRAJ","Finansial (Perbankan), Kesehatan",Tahir (Dato Sri Tahir)
MNC Group,"MNCN, MSIN, BHIT","Media, Jasa Keuangan, Properti",Hary Tanoesoedibjo
Bakrie Group,"BUMI, BRMS, ELTY","Energi, Properti, Infrastruktur",Keluarga Bakrie
